Date of Census,Total Individuals in Shelter,Families with Children in Shelter,Total Single Adults in Shelter,Adult Families in Shelter
08/21/2013,49673,10261,9941,1796
08/22/2013,49690,10274,9917,1803
08/23/2013,49548,10266,9820,1802
08/24/2013,49617,10291,9800,1801
08/25/2013,49858,10324,9934,1804
08/26/2013,49877,10307,9956,1809
08/27/2013,49736,10277,9922,1813
08/28/2013,49753,10284,9950,1803
08/29/2013,49808,10316,9860,1807
08/30/2013,49525,10281,9685,1811
08/31/2013,49462,10287,9610,1815
09/01/2013,49662,10326,9669,1822
09/02/2013,49781,10319,9801,1823
09/04/2013,49751,10303,9851,1811
09/06/2013,49747,10306,9811,1811
09/07/2013,49912,10354,9787,1821
09/08/2013,49957,10377,9744,1824
09/09/2013,50123,10384,9889,1823
09/10/2013,50149,10394,9890,1826
09/11/2013,50151,10387,9895,1829
09/12/2013,50240,10423,9874,1824
09/13/2013,50218,10417,9849,1825
09/14/2013,50250,10428,9850,1816
09/15/2013,50540,10471,9995,1819
09/16/2013,50526,10455,9995,1836
09/17/2013,50452,10439,10015,1819
09/18/2013,50450,10435,10060,1816
09/19/2013,50414,10455,9955,1824
09/20/2013,50378,10453,9936,1817
09/21/2013,50282,10426,9927,1816
09/22/2013,50461,10457,10004,1822
09/23/2013,50608,10465,10081,1830
09/24/2013,50525,10440,10087,1828
09/25/2013,50584,10453,10082,1832
09/26/2013,50692,10483,10058,1836
09/27/2013,50486,10465,9924,1838
09/28/2013,50434,10462,9896,1829
09/29/2013,50595,10480,9988,1837
09/30/2013,50646,10471,10017,1843
10/01/2013,50315,10438,9813,1838
10/02/2013,50351,10469,9754,1845
10/04/2013,50339,10488,9671,1842
10/05/2013,50324,10483,9678,1839
10/06/2013,50581,10531,9777,1847
10/07/2013,50637,10517,9859,1849
10/08/2013,50602,10494,9887,1846
10/09/2013,50686,10512,9920,1850
10/10/2013,50728,10536,9878,1852
10/11/2013,50674,10534,9829,1851
10/12/2013,50593,10520,9786,1861
10/13/2013,50865,10556,9909,1869
10/14/2013,50962,10558,9999,1869
10/15/2013,50892,10542,10009,1861
10/16/2013,50772,10513,9986,1856
10/17/2013,50762,10510,9990,1849
10/18/2013,50732,10519,9899,1859
10/19/2013,50816,10534,9954,1858
10/20/2013,51059,10568,10073,1863
10/21/2013,51062,10573,10073,1856
10/22/2013,50994,10549,10106,1842
10/23/2013,51052,10554,10159,1849
10/24/2013,51153,10587,10149,1858
10/25/2013,51012,10574,10034,1855
10/26/2013,51055,10592,10034,1860
10/27/2013,51262,10623,10143,1863
