date,home_mean
31/08/13,496860
30/09/13,502860
31/10/13,508330
30/11/13,511230
31/12/13,510150
31/01/14,514700
28/02/14,521440
31/03/14,522340
30/04/14,526810
31/05/14,530980
30/06/14,536020
31/07/14,543050
31/08/14,548340
30/09/14,558390
31/10/14,571530
30/11/14,582100
31/12/14,587450
31/01/15,585310
28/02/15,582350
31/03/15,576710
30/04/15,569960
31/05/15,566340
30/06/15,562140
31/07/15,559660
31/08/15,564600
30/09/15,570640
31/10/15,573460
30/11/15,577670
31/12/15,578550
31/01/16,581400
29/02/16,581820
31/03/16,578470
30/04/16,578270
31/05/16,578960
30/06/16,577910
31/07/16,580760
31/08/16,590420
30/09/16,595910
31/10/16,599690
30/11/16,604920
31/12/16,603820
31/01/17,602180
28/02/17,600770
31/03/17,595620
30/04/17,589050
31/05/17,586600
30/06/17,582860
31/07/17,583570
31/08/17,589150
